"filter_sal","MPG","PPG","APG","RPG","TOPG","BPG","SPG","Trusted","Agressiveness"
2e+06,18.625,5.31944444444444,0.722222222222222,3.18055555555556,0.388888888888889,0.222222222222222,0.361111111111111,"No","No"
4328000,15.2222222222222,6.34567901234568,0.62962962962963,4.74074074074074,0.827160493827161,0.641975308641975,0.259259259259259,"No","No"
1500000,33.3943661971831,12.8028169014085,2.02816901408451,3.74647887323944,1.15492957746479,0.140845070422535,0.352112676056338,"Yes","No"
2328652,33.3943661971831,12.8028169014085,2.02816901408451,3.74647887323944,1.15492957746479,0.140845070422535,0.352112676056338,"Yes","No"
11825000,21.8507462686567,8.85074626865672,1.47761194029851,1.94029850746269,0.91044776119403,0.134328358208955,0.716417910447761,"No","No"
8808989,33.3684210526316,15.1973684210526,2.07894736842105,2.89473684210526,1.43421052631579,0.25,1.53947368421053,"Yes","Yes"
25000,14.5238095238095,3.61904761904762,0.714285714285714,1.47619047619048,0.285714285714286,0.285714285714286,0.333333333333333,"No","No"
5200000,21.2205882352941,7.80882352941176,1.16176470588235,2.17647058823529,1.45588235294118,0.147058823529412,0.764705882352941,"No","Yes"
25000,16.0681818181818,4.65909090909091,2.63636363636364,1.63636363636364,1.20454545454545,0.0227272727272727,0.318181818181818,"No","No"
1.7e+07,22.0487804878049,5.53658536585366,0.353658536585366,7.98780487804878,0.865853658536585,1.6219512195122,0.231707317073171,"No","No"
29512900,33.4285714285714,21.4,4.85714285714286,8.4,2.37142857142857,0.485714285714286,0.8,"Yes","Yes"
7e+06,9.40740740740741,5.5,0.388888888888889,3.59259259259259,0.537037037037037,0.425925925925926,0.222222222222222,"No","No"
1516320,17.7741935483871,7.03225806451613,0.838709677419355,5.43548387096774,0.870967741935484,0.354838709677419,0.403225806451613,"No","No"
10500000,26.7721518987342,11.2278481012658,1.25316455696203,3.22784810126582,1.45569620253165,0.0632911392405063,0.367088607594937,"Yes","Yes"
23775506,31.0545454545455,17.4181818181818,2.94545454545455,3.41818181818182,2.03636363636364,0.2,0.981818181818182,"Yes","Yes"
5179760,17.6666666666667,6.91666666666667,0.5,3.58333333333333,0.833333333333333,1.25,0.416666666666667,"No","No"
119010,18.0833333333333,6.91666666666667,3.54166666666667,2,1.1875,0.145833333333333,0.604166666666667,"No","No"
13618750,35.9615384615385,19.5769230769231,5.05769230769231,3.88461538461538,3.40384615384615,0.384615384615385,1.17307692307692,"Yes","Yes"
119602,14.6527777777778,4.23611111111111,0.791666666666667,2.51388888888889,0.458333333333333,0.319444444444444,0.277777777777778,"No","No"
83129,24.1428571428571,4.42857142857143,3,3.57142857142857,1.28571428571429,0.428571428571429,1.28571428571429,"Yes","No"
50000,24.1428571428571,4.42857142857143,3,3.57142857142857,1.28571428571429,0.428571428571429,1.28571428571429,"Yes","No"
50000,24.1428571428571,4.42857142857143,3,3.57142857142857,1.28571428571429,0.428571428571429,1.28571428571429,"Yes","No"
22642350,33.6575342465753,20.5616438356164,2.01369863013699,7.84931506849315,2.3972602739726,1.6986301369863,0.794520547945205,"Yes","Yes"
2451225,7.16666666666667,0.5,0.166666666666667,0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,"No","No"
23962573,34.75,20.825,4.2625,3.2375,2.45,0.2875,1.2125,"Yes","Yes"
7936509,22.875,11.765625,0.984375,2.734375,1.09375,0.453125,0.828125,"No","No"
333334,19.8787878787879,4.3030303030303,2.66666666666667,2,0.757575757575758,0.151515151515152,0.575757575757576,"No","No"
2203440,12.2456140350877,4.96491228070175,1.89473684210526,1.49122807017544,0.771929824561403,0.105263157894737,0.631578947368421,"No","No"
26243760,35.1388888888889,21.8472222222222,4.15277777777778,7.72222222222222,2.44444444444444,0.527777777777778,0.861111111111111,"Yes","Yes"
517220,10.3529411764706,3.70588235294118,0.588235294117647,1.29411764705882,0.176470588235294,0.0588235294117647,0.529411764705882,"No","No"
23112004,29.4918032786885,13.7213114754098,2.77049180327869,4.67213114754098,1.55737704918033,0.344262295081967,0.754098360655738,"Yes","Yes"
7420912,17.1428571428571,6.07142857142857,1.01428571428571,3.34285714285714,0.614285714285714,0.4,0.414285714285714,"No","No"
25289390,33.5471698113208,19.0566037735849,2.41509433962264,7.35849056603774,1.47169811320755,0.641509433962264,0.679245283018868,"Yes","Yes"
25000,12.2428571428571,2.92857142857143,0.642857142857143,1.88571428571429,0.571428571428571,0.285714285714286,0.457142857142857,"No","No"
1471382,15.0833333333333,4.66666666666667,0.375,2.83333333333333,0.625,0.5,1.16666666666667,"No","No"
24599495,32.7027027027027,19.5405405405405,9.97297297297297,4.18918918918919,2.62162162162162,0.175675675675676,2.05405405405405,"Yes","Yes"
2334520,19.1038961038961,7.03896103896104,0.61038961038961,6.41558441558442,0.779220779220779,1.19480519480519,0.766233766233766,"No","No"
12584270,24.3013698630137,8.73972602739726,0.972602739726027,6.23287671232877,0.931506849315068,0.863013698630137,0.780821917808219,"Yes","No"
7300000,13.3333333333333,5.46666666666667,0.833333333333333,4.8,1.06666666666667,1.13333333333333,0.783333333333333,"No","No"
7579366,20.3536585365854,7.19512195121951,1.32926829268293,2.42682926829268,0.951219512195122,0.231707317073171,1.02439024390244,"No","No"
7630000,25.575,8.4625,3.125,2.625,1.275,0.25,0.7875,"Yes","No"
11747890,29.5443037974684,9.63291139240506,1.72151898734177,2.59493670886076,0.911392405063291,0.354430379746835,1.07594936708861,"Yes","No"
7843500,10.3548387096774,3.38709677419355,0.838709677419355,3.29032258064516,0.419354838709677,0.419354838709677,0.193548387096774,"No","No"
5562360,28.2375,13.175,3.325,3.425,2.45,0.1625,1.1625,"Yes","Yes"
7250000,19,7.53225806451613,3.19354838709677,1.53225806451613,1.35483870967742,0.0645161290322581,0.612903225806452,"No","Yes"
26153057,35.68,25.0533333333333,6.82666666666667,4.02666666666667,3.22666666666667,0.373333333333333,0.866666666666667,"Yes","Yes"
20559599,34.6981132075472,19.5471698113208,2.54716981132075,5.30188679245283,1.45283018867925,0.358490566037736,0.792452830188679,"Yes","Yes"
